cod_pais;nom_pais;REGION;cod_provincia;nom_provincia;cod_depto;nom_depto;año_De_registro;produccion_por tipo;cantidad_de_producciones;produce_la_materia_prima
32;Argentina;CENTRO;6;BUENOS AIRES;266;EXALTACION DE LA CRUZ;2011;ABONO ORGÁNICO;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;266;EXALTACION DE LA CRUZ;2013;BEBIDAS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;266;EXALTACION DE LA CRUZ;2013;CHACINADOS;2;0
32;Argentina;CENTRO;6;BUENOS AIRES;270;EZEIZA;2011;HARINAS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;274;FLORENCIO VARELA;2010;AROMATICAS - FRACCIONAMIENTO;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;274;FLORENCIO VARELA;2011;CONSERVAS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;274;FLORENCIO VARELA;2011;DULCES;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;274;FLORENCIO VARELA;2011;LACTEOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;274;FLORENCIO VARELA;2012;MIEL - FRACCIONAMIENTO;3;3
32;Argentina;CENTRO;6;BUENOS AIRES;274;FLORENCIO VARELA;2012;OTROS PRODUCTOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;277;FLORENTINO AMEGHINO;2010;CHACINADOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;277;FLORENTINO AMEGHINO;2010;DULCES;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;277;FLORENTINO AMEGHINO;2010;EMBUTIDOS;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;277;FLORENTINO AMEGHINO;2010;LACTEOS;3;3
32;Argentina;CENTRO;6;BUENOS AIRES;277;FLORENTINO AMEGHINO;2010;LECHE;2;2
32;Argentina;CENTRO;6;BUENOS AIRES;277;FLORENTINO AMEGHINO;2010;MERMELADAS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;277;FLORENTINO AMEGHINO;2010;PANIFICADOS;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;277;FLORENTINO AMEGHINO;2010;QUESOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;277;FLORENTINO AMEGHINO;2012;CONSERVAS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;277;FLORENTINO AMEGHINO;2012;DULCES;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;277;FLORENTINO AMEGHINO;2012;OTROS PRODUCTOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;280;GENERAL ALVARADO;2011;MERMELADAS;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;280;GENERAL ALVARADO;2012;MERMELADAS;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;280;GENERAL ALVARADO;2012;PANIFICADOS;3;0
32;Argentina;CENTRO;6;BUENOS AIRES;280;GENERAL ALVARADO;2013;CONFITURAS;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;280;GENERAL ALVARADO;2013;PANIFICADOS;3;0
32;Argentina;CENTRO;6;BUENOS AIRES;280;GENERAL ALVARADO;2014;LECHE;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;280;GENERAL ALVARADO;2014;OTROS PRODUCTOS;3;2
32;Argentina;CENTRO;6;BUENOS AIRES;280;GENERAL ALVARADO;2014;PANIFICADOS;2;0
32;Argentina;CENTRO;6;BUENOS AIRES;280;GENERAL ALVARADO;2016;OTROS PRODUCTOS;2;1
32;Argentina;CENTRO;6;BUENOS AIRES;315;GENERAL JUAN MADARIAGA;2009;CONSERVAS;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;315;GENERAL JUAN MADARIAGA;2009;DULCES;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;329;GENERAL LAS HERAS;2013;CHACINADOS;4;0
32;Argentina;CENTRO;6;BUENOS AIRES;336;GENERAL LAVALLE;2016;CONSERVAS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;336;GENERAL LAVALLE;2016;DULCES;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;343;GENERAL PAZ;2010;OTROS PRODUCTOS;3;2
32;Argentina;CENTRO;6;BUENOS AIRES;351;GENERAL PINTO;2010;MERMELADAS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;351;GENERAL PINTO;2012;CHACINADOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;351;GENERAL PINTO;2013;EMBUTIDOS;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;357;GENERAL PUEYRREDON;2011;ACEITES ESENCIALES;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;357;GENERAL PUEYRREDON;2011;CONFITURAS;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;357;GENERAL PUEYRREDON;2011;CONSERVAS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;357;GENERAL PUEYRREDON;2011;DULCES;6;3
32;Argentina;CENTRO;6;BUENOS AIRES;357;GENERAL PUEYRREDON;2011;EMBUTIDOS;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;357;GENERAL PUEYRREDON;2011;ENCURTIDOS;1;1
