cod_pais;nom_pais;Region;cod_provincia;nom_provincia;cod_depto;nom_depto;año_del_dato;Cantidad_de_nafs;nafs_ con red eléctrica;naf_con_acceso_a_caminos_y_rutas_cercanas;naf_con_acceso_a_agua_de_red_pública_ (agua corriente)
32;Argentina;CENTRO;6;BUENOS AIRES;140;CAPITAN SARMIENTO;2012;1;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;147;CARLOS CASARES;2012;16;14;12;0
32;Argentina;CENTRO;6;BUENOS AIRES;147;CARLOS CASARES;2013;10;9;8;0
32;Argentina;CENTRO;6;BUENOS AIRES;147;CARLOS CASARES;2014;4;4;4;0
32;Argentina;CENTRO;6;BUENOS AIRES;147;CARLOS CASARES;2015;1;1;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;147;CARLOS CASARES;2016;6;6;5;3
32;Argentina;CENTRO;6;BUENOS AIRES;147;CARLOS CASARES;2017;1;1;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;161;CARMEN DE ARECO;2013;1;1;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;161;CARMEN DE ARECO;2014;18;13;8;0
32;Argentina;CENTRO;6;BUENOS AIRES;161;CARMEN DE ARECO;2017;1;1;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;168;CASTELLI;2010;3;0;2;0
32;Argentina;CENTRO;6;BUENOS AIRES;168;CASTELLI;2011;3;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;168;CASTELLI;2012;2;2;2;0
32;Argentina;CENTRO;6;BUENOS AIRES;168;CASTELLI;2013;22;12;10;0
32;Argentina;CENTRO;6;BUENOS AIRES;168;CASTELLI;2017;1;1;1;1
32;Argentina;CENTRO;6;BUENOS AIRES;210;CHACABUCO;2010;152;93;122;0
32;Argentina;CENTRO;6;BUENOS AIRES;210;CHACABUCO;2012;34;23;25;0
32;Argentina;CENTRO;6;BUENOS AIRES;210;CHACABUCO;2013;15;8;9;0
32;Argentina;CENTRO;6;BUENOS AIRES;210;CHACABUCO;2015;20;16;15;0
32;Argentina;CENTRO;6;BUENOS AIRES;210;CHACABUCO;Sin dato;1;1;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;217;CHASCOMUS;2010;2;0;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;217;CHASCOMUS;2011;5;0;5;0
32;Argentina;CENTRO;6;BUENOS AIRES;217;CHASCOMUS;2012;14;11;9;0
32;Argentina;CENTRO;6;BUENOS AIRES;217;CHASCOMUS;2013;26;19;19;0
32;Argentina;CENTRO;6;BUENOS AIRES;217;CHASCOMUS;2014;14;9;4;0
32;Argentina;CENTRO;6;BUENOS AIRES;217;CHASCOMUS;2015;6;5;2;0
32;Argentina;CENTRO;6;BUENOS AIRES;217;CHASCOMUS;2016;9;5;5;2
32;Argentina;CENTRO;6;BUENOS AIRES;217;CHASCOMUS;2017;3;1;2;1
32;Argentina;CENTRO;6;BUENOS AIRES;224;CHIVILCOY;2010;3;1;3;0
32;Argentina;CENTRO;6;BUENOS AIRES;224;CHIVILCOY;2016;7;7;7;4
32;Argentina;CENTRO;6;BUENOS AIRES;224;CHIVILCOY;2017;15;15;15;12
32;Argentina;CENTRO;6;BUENOS AIRES;175;COLON;2010;2;2;2;0
32;Argentina;CENTRO;6;BUENOS AIRES;175;COLON;2012;5;2;2;0
32;Argentina;CENTRO;6;BUENOS AIRES;175;COLON;2013;16;13;11;0
32;Argentina;CENTRO;6;BUENOS AIRES;175;COLON;2015;1;0;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;175;COLON;2017;13;12;4;2
32;Argentina;CENTRO;6;BUENOS AIRES;182;CORONEL DE MARINA L. ROSALES;2010;1;1;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;182;CORONEL DE MARINA L. ROSALES;2012;12;9;3;0
32;Argentina;CENTRO;6;BUENOS AIRES;182;CORONEL DE MARINA L. ROSALES;2013;12;8;10;0
32;Argentina;CENTRO;6;BUENOS AIRES;182;CORONEL DE MARINA L. ROSALES;2014;6;4;5;0
32;Argentina;CENTRO;6;BUENOS AIRES;189;CORONEL DORREGO;2013;13;6;11;0
32;Argentina;CENTRO;6;BUENOS AIRES;189;CORONEL DORREGO;2014;4;1;2;0
32;Argentina;CENTRO;6;BUENOS AIRES;189;CORONEL DORREGO;2015;1;1;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;189;CORONEL DORREGO;2016;3;2;3;0
32;Argentina;CENTRO;6;BUENOS AIRES;196;CORONEL PRINGLES;2010;6;5;3;0
32;Argentina;CENTRO;6;BUENOS AIRES;196;CORONEL PRINGLES;2011;8;1;5;0
32;Argentina;CENTRO;6;BUENOS AIRES;196;CORONEL PRINGLES;2012;9;2;8;0
32;Argentina;CENTRO;6;BUENOS AIRES;196;CORONEL PRINGLES;2013;17;8;14;0
32;Argentina;CENTRO;6;BUENOS AIRES;196;CORONEL PRINGLES;2014;1;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;196;CORONEL PRINGLES;2017;5;5;3;5
32;Argentina;CENTRO;6;BUENOS AIRES;203;CORONEL SUAREZ;2010;30;10;23;0
32;Argentina;CENTRO;6;BUENOS AIRES;203;CORONEL SUAREZ;2011;2;0;2;0
32;Argentina;CENTRO;6;BUENOS AIRES;203;CORONEL SUAREZ;2012;3;2;2;0
32;Argentina;CENTRO;6;BUENOS AIRES;203;CORONEL SUAREZ;2016;2;2;2;0
32;Argentina;CENTRO;6;BUENOS AIRES;203;CORONEL SUAREZ;2017;7;7;3;3
32;Argentina;CENTRO;6;BUENOS AIRES;231;DAIREAUX;2011;4;3;4;0
32;Argentina;CENTRO;6;BUENOS AIRES;231;DAIREAUX;2013;6;2;4;0
32;Argentina;CENTRO;6;BUENOS AIRES;231;DAIREAUX;2016;1;1;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;231;DAIREAUX;2017;25;24;24;10
32;Argentina;CENTRO;6;BUENOS AIRES;238;DOLORES;2011;8;6;6;0
32;Argentina;CENTRO;6;BUENOS AIRES;238;DOLORES;2012;28;19;15;0
32;Argentina;CENTRO;6;BUENOS AIRES;238;DOLORES;2013;30;23;24;0
32;Argentina;CENTRO;6;BUENOS AIRES;238;DOLORES;2014;2;2;2;0
32;Argentina;CENTRO;6;BUENOS AIRES;238;DOLORES;2015;2;1;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;238;DOLORES;2016;5;3;4;0
32;Argentina;CENTRO;6;BUENOS AIRES;238;DOLORES;2017;11;9;5;8
