cod_pais;nom_pais;REGION;cod_provincia;nom_provincia;cod_depto;nom_depto;a¤o_del_dato;Integrantes_del_naf_con_obra_social;integrantes_del_naf_con_prepaga;integrantes_del_naf_con_sistema_p£blico_de_salud;integrantes_del_naf_sin_cobertura_medica
32;Argentina;CENTRO;6;BUENOS AIRES;175;COLON;2017;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;182;CORONEL DE MARINA L. ROSALES;2010;5;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;182;CORONEL DE MARINA L. ROSALES;2012;10;0;9;5
32;Argentina;CENTRO;6;BUENOS AIRES;182;CORONEL DE MARINA L. ROSALES;2013;14;0;15;3
32;Argentina;CENTRO;6;BUENOS AIRES;182;CORONEL DE MARINA L. ROSALES;2014;2;0;5;1
32;Argentina;CENTRO;6;BUENOS AIRES;189;CORONEL DORREGO;2013;2;0;52;2
32;Argentina;CENTRO;6;BUENOS AIRES;189;CORONEL DORREGO;2014;1;0;3;1
32;Argentina;CENTRO;6;BUENOS AIRES;189;CORONEL DORREGO;2015;0;0;4;0
32;Argentina;CENTRO;6;BUENOS AIRES;189;CORONEL DORREGO;2016;0;0;5;0
32;Argentina;CENTRO;6;BUENOS AIRES;196;CORONEL PRINGLES;2010;15;0;14;1
32;Argentina;CENTRO;6;BUENOS AIRES;196;CORONEL PRINGLES;2011;13;0;13;0
32;Argentina;CENTRO;6;BUENOS AIRES;196;CORONEL PRINGLES;2012;3;0;15;8
32;Argentina;CENTRO;6;BUENOS AIRES;196;CORONEL PRINGLES;2013;15;4;43;9
32;Argentina;CENTRO;6;BUENOS AIRES;196;CORONEL PRINGLES;2014;0;0;3;0
32;Argentina;CENTRO;6;BUENOS AIRES;196;CORONEL PRINGLES;2017;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;203;CORONEL SUAREZ;2010;21;0;85;8
32;Argentina;CENTRO;6;BUENOS AIRES;203;CORONEL SUAREZ;2011;1;0;7;0
32;Argentina;CENTRO;6;BUENOS AIRES;203;CORONEL SUAREZ;2012;1;0;6;1
32;Argentina;CENTRO;6;BUENOS AIRES;203;CORONEL SUAREZ;2016;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;203;CORONEL SUAREZ;2017;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;231;DAIREAUX;2011;4;0;8;0
32;Argentina;CENTRO;6;BUENOS AIRES;231;DAIREAUX;2013;4;0;12;1
32;Argentina;CENTRO;6;BUENOS AIRES;231;DAIREAUX;2016;0;0;5;0
32;Argentina;CENTRO;6;BUENOS AIRES;231;DAIREAUX;2017;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;238;DOLORES;2011;2;0;17;1
32;Argentina;CENTRO;6;BUENOS AIRES;238;DOLORES;2012;4;5;61;25
32;Argentina;CENTRO;6;BUENOS AIRES;238;DOLORES;2013;23;1;57;12
32;Argentina;CENTRO;6;BUENOS AIRES;238;DOLORES;2014;1;0;2;1
32;Argentina;CENTRO;6;BUENOS AIRES;238;DOLORES;2015;0;0;5;0
32;Argentina;CENTRO;6;BUENOS AIRES;238;DOLORES;2016;3;0;4;7
32;Argentina;CENTRO;6;BUENOS AIRES;238;DOLORES;2017;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;245;ENSENADA;2011;0;0;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;245;ENSENADA;2012;0;0;4;0
32;Argentina;CENTRO;6;BUENOS AIRES;245;ENSENADA;2015;0;0;3;5
32;Argentina;CENTRO;6;BUENOS AIRES;245;ENSENADA;Sin dato;0;0;4;0
32;Argentina;CENTRO;6;BUENOS AIRES;252;ESCOBAR;2010;0;0;7;0
32;Argentina;CENTRO;6;BUENOS AIRES;252;ESCOBAR;2011;39;0;166;0
32;Argentina;CENTRO;6;BUENOS AIRES;252;ESCOBAR;2012;24;11;87;26
32;Argentina;CENTRO;6;BUENOS AIRES;252;ESCOBAR;2013;0;0;14;6
32;Argentina;CENTRO;6;BUENOS AIRES;252;ESCOBAR;2014;2;0;3;0
32;Argentina;CENTRO;6;BUENOS AIRES;252;ESCOBAR;2015;39;7;51;4
32;Argentina;CENTRO;6;BUENOS AIRES;252;ESCOBAR;2016;0;0;0;3
32;Argentina;CENTRO;6;BUENOS AIRES;252;ESCOBAR;2017;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;252;ESCOBAR;Sin dato;7;0;27;9
32;Argentina;CENTRO;6;BUENOS AIRES;260;ESTEBAN ECHEVERRIA;2010;9;0;0;1
