cod_pais,nom_pais,region,cod_provincia,nom_provincia,cod_depto,nom_depto,año_de_registro,Cant_de_naf,integ_del_NAF,sin_educacion_formal,educacion_inicial,educacion_primaria,educacion_secundaria,educacion_cens,educacion_superior,educacion_especial
32,Argentina,PATAGONIA,62,RIO NEGRO,49,9 DE JULIO,2010,44,154,19,8,74,35,0,15,0
32,Argentina,PATAGONIA,62,RIO NEGRO,49,9 DE JULIO,2011,4,15,2,0,10,3,0,0,0
32,Argentina,PATAGONIA,62,RIO NEGRO,49,9 DE JULIO,2014,12,25,3,3,13,5,0,0,0
32,Argentina,PATAGONIA,62,RIO NEGRO,49,9 DE JULIO,2015,2,3,1,0,0,0,0,0,0
32,Argentina,PATAGONIA,62,RIO NEGRO,49,9 DE JULIO,2017,31,81,15,1,45,14,0,6,0
32,Argentina,CENTRO,6,BUENOS AIRES,7,ADOLFO ALSINA,2011,2,6,0,0,5,0,0,1,0
32,Argentina,CENTRO,6,BUENOS AIRES,7,ADOLFO ALSINA,2012,1,1,0,0,1,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,7,ADOLFO ALSINA,2013,9,19,0,1,7,4,0,4,0
32,Argentina,CENTRO,6,BUENOS AIRES,7,ADOLFO ALSINA,2014,1,1,0,0,1,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,7,ADOLFO ALSINA,2016,34,77,6,0,56,8,0,7,0
32,Argentina,CENTRO,6,BUENOS AIRES,7,ADOLFO ALSINA,2017,51,87,5,0,59,16,0,7,0
32,Argentina,CENTRO,6,BUENOS AIRES,7,ADOLFO ALSINA,2018,1,1,0,0,1,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,7,ADOLFO ALSINA,Sin dato,62,80,1,0,60,17,0,2,0
32,Argentina,PATAGONIA,62,RIO NEGRO,7,ADOLFO ALSINA,2010,8,36,1,0,20,6,0,9,0
32,Argentina,PATAGONIA,62,RIO NEGRO,7,ADOLFO ALSINA,2011,14,53,6,5,19,20,0,3,0
32,Argentina,PATAGONIA,62,RIO NEGRO,7,ADOLFO ALSINA,2013,2,4,0,0,2,1,1,0,0
32,Argentina,PATAGONIA,62,RIO NEGRO,7,ADOLFO ALSINA,2014,24,46,2,2,11,8,1,6,0
32,Argentina,PATAGONIA,62,RIO NEGRO,7,ADOLFO ALSINA,2015,8,31,0,3,7,4,1,2,0
32,Argentina,PATAGONIA,62,RIO NEGRO,7,ADOLFO ALSINA,2016,4,7,0,0,6,1,0,0,0
32,Argentina,PATAGONIA,62,RIO NEGRO,7,ADOLFO ALSINA,2017,20,27,0,0,11,10,0,6,0
32,Argentina,CENTRO,6,BUENOS AIRES,14,ADOLFO GONZALES CHAVES,2010,6,33,1,0,20,6,0,6,0
32,Argentina,CENTRO,6,BUENOS AIRES,14,ADOLFO GONZALES CHAVES,2011,1,4,1,0,1,0,0,2,0
32,Argentina,NOA,86,SANTIAGO DEL ESTERO,7,AGUIRRE,2010,7,32,4,2,21,5,0,0,0
32,Argentina,NOA,86,SANTIAGO DEL ESTERO,7,AGUIRRE,2011,12,50,5,0,38,6,0,1,0
32,Argentina,NOA,86,SANTIAGO DEL ESTERO,7,AGUIRRE,2012,36,152,9,3,105,28,0,7,0
32,Argentina,NOA,86,SANTIAGO DEL ESTERO,7,AGUIRRE,2013,19,70,7,4,41,10,3,3,1
32,Argentina,NOA,86,SANTIAGO DEL ESTERO,7,AGUIRRE,2015,9,28,0,1,14,8,0,3,0
32,Argentina,NOA,86,SANTIAGO DEL ESTERO,7,AGUIRRE,2016,13,66,12,0,46,8,0,0,0
32,Argentina,NOA,86,SANTIAGO DEL ESTERO,7,AGUIRRE,2017,1,1,0,0,1,0,0,0,0
32,Argentina,NOA,86,SANTIAGO DEL ESTERO,7,AGUIRRE,Sin dato,2,5,0,0,3,2,0,0,0
32,Argentina,CUYO,70,SAN JUAN,7,ALBARDON,2009,3,10,0,0,1,5,0,4,0
32,Argentina,CUYO,70,SAN JUAN,7,ALBARDON,2010,129,503,62,7,283,125,2,22,2
32,Argentina,CUYO,70,SAN JUAN,7,ALBARDON,2011,61,214,28,6,119,46,1,14,0
32,Argentina,CUYO,70,SAN JUAN,7,ALBARDON,2012,36,155,13,8,81,38,1,12,2
32,Argentina,CUYO,70,SAN JUAN,7,ALBARDON,2013,36,97,4,3,53,25,2,5,0
32,Argentina,CUYO,70,SAN JUAN,7,ALBARDON,2014,57,171,8,6,86,39,2,6,0
32,Argentina,CUYO,70,SAN JUAN,7,ALBARDON,2015,35,97,1,3,58,26,1,5,0
32,Argentina,CUYO,70,SAN JUAN,7,ALBARDON,2016,2,7,0,0,5,2,0,0,0
32,Argentina,CUYO,70,SAN JUAN,7,ALBARDON,2017,30,92,4,1,54,26,0,7,0
32,Argentina,CUYO,70,SAN JUAN,7,ALBARDON,Sin dato,6,24,1,0,7,7,0,5,0
32,Argentina,NOA,86,SANTIAGO DEL ESTERO,14,ALBERDI,2009,22,129,14,2,89,8,0,1,0
32,Argentina,NOA,86,SANTIAGO DEL ESTERO,14,ALBERDI,2010,339,1530,195,56,1088,161,4,14,0
32,Argentina,NOA,86,SANTIAGO DEL ESTERO,14,ALBERDI,2011,84,363,43,7,244,55,0,7,0
32,Argentina,NOA,86,SANTIAGO DEL ESTERO,14,ALBERDI,2014,2,4,0,1,2,1,0,0,0
32,Argentina,NOA,86,SANTIAGO DEL ESTERO,14,ALBERDI,2015,9,30,1,5,9,7,1,5,0
32,Argentina,NOA,86,SANTIAGO DEL ESTERO,14,ALBERDI,2016,4,15,4,0,5,6,0,0,0
32,Argentina,NOA,86,SANTIAGO DEL ESTERO,14,ALBERDI,2017,5,21,1,2,17,1,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,21,ALBERTI,2010,7,21,0,2,7,10,0,2,0
32,Argentina,CENTRO,6,BUENOS AIRES,21,ALBERTI,2012,1,4,0,1,3,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,21,ALBERTI,2013,6,18,0,0,7,10,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,21,ALBERTI,2015,1,6,0,0,0,6,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,21,ALBERTI,2016,1,1,0,0,1,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,28,ALMIRANTE BROWN,2009,1,1,0,0,0,1,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,28,ALMIRANTE BROWN,2010,13,38,2,3,14,14,0,5,0
32,Argentina,CENTRO,6,BUENOS AIRES,28,ALMIRANTE BROWN,2011,17,43,1,2,18,13,1,8,0
32,Argentina,CENTRO,6,BUENOS AIRES,28,ALMIRANTE BROWN,2012,6,14,1,0,10,2,0,1,0
32,Argentina,CENTRO,6,BUENOS AIRES,28,ALMIRANTE BROWN,2013,19,44,4,10,15,8,1,6,0
32,Argentina,CENTRO,6,BUENOS AIRES,28,ALMIRANTE BROWN,2014,2,10,1,1,3,4,0,1,0
32,Argentina,CENTRO,6,BUENOS AIRES,28,ALMIRANTE BROWN,2015,1,3,0,0,3,0,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,28,ALMIRANTE BROWN,2016,2,5,0,0,4,1,0,0,0
32,Argentina,CENTRO,6,BUENOS AIRES,28,ALMIRANTE BROWN,2017,4,10,1,0,7,2,0,0,0
32,Argentina,NEA,22,CHACO,7,ALMIRANTE BROWN,2010,15,83,9,5,65,4,0,0,0
32,Argentina,NEA,22,CHACO,7,ALMIRANTE BROWN,2011,85,336,35,27,214,39,7,14,0
32,Argentina,NEA,22,CHACO,7,ALMIRANTE BROWN,2012,6,13,1,1,11,0,0,0,0
32,Argentina,NEA,22,CHACO,7,ALMIRANTE BROWN,2013,1,3,1,0,1,1,0,0,0
32,Argentina,NEA,22,CHACO,7,ALMIRANTE BROWN,2014,44,150,6,4,75,31,2,5,0
32,Argentina,NEA,22,CHACO,7,ALMIRANTE BROWN,2015,22,81,4,2,26,19,3,16,0
32,Argentina,NEA,22,CHACO,7,ALMIRANTE BROWN,2016,7,19,0,0,13,1,0,0,0
32,Argentina,NEA,22,CHACO,7,ALMIRANTE BROWN,2017,34,101,4,0,78,14,0,5,0
32,Argentina,NEA,22,CHACO,7,ALMIRANTE BROWN,Sin dato,13,20,1,0,16,2,0,0,0
32,Argentina,PATAGONIA,58,NEUQUEN,7,ALUMINE,2010,8,26,3,2,14,7,0,0,0
32,Argentina,PATAGONIA,58,NEUQUEN,7,ALUMINE,2011,67,219,23,16,86,76,7,11,0
32,Argentina,PATAGONIA,58,NEUQUEN,7,ALUMINE,2012,75,275,43,43,134,46,1,7,1
32,Argentina,PATAGONIA,58,NEUQUEN,7,ALUMINE,2013,22,59,3,3,28,10,0,0,0
32,Argentina,PATAGONIA,58,NEUQUEN,7,ALUMINE,2014,2,7,2,0,4,1,0,0,0
32,Argentina,PATAGONIA,58,NEUQUEN,7,ALUMINE,2017,35,53,9,0,36,8,0,0,0
32,Argentina,PATAGONIA,58,NEUQUEN,7,ALUMINE,Sin dato,9,24,1,0,15,1,0,0,0
