cod_pais;nom_pais;region;cod_provincia;nom_provincia;cod_depto;nom_depto;Cant_de_naf;año_de_registro;integ_del_NAF;integ_menores_de_edad;integ_mayores_de_edad;integ_que_trabajan_en_el_predio;cant_de_mujeres_integrantes_del_NAF;cant_de_varones_integrantes_del_NAF
32;Argentina;NOA;86;SANTIAGO DEL ESTERO;14;ALBERDI;339;2010;1530;731;797;1014;745;785
32;Argentina;NOA;86;SANTIAGO DEL ESTERO;14;ALBERDI;84;2011;363;152;211;228;171;192
32;Argentina;NOA;86;SANTIAGO DEL ESTERO;14;ALBERDI;2;2014;4;1;3;3;3;1
32;Argentina;NOA;86;SANTIAGO DEL ESTERO;14;ALBERDI;9;2015;30;7;23;22;12;18
32;Argentina;NOA;86;SANTIAGO DEL ESTERO;14;ALBERDI;4;2016;15;4;11;10;8;7
32;Argentina;NOA;86;SANTIAGO DEL ESTERO;14;ALBERDI;5;2017;21;9;12;9;9;12
32;Argentina;CENTRO;6;BUENOS AIRES;21;ALBERTI;7;2010;21;5;16;12;9;12
32;Argentina;CENTRO;6;BUENOS AIRES;21;ALBERTI;1;2012;4;2;2;1;3;1
32;Argentina;CENTRO;6;BUENOS AIRES;21;ALBERTI;6;2013;18;4;14;7;7;11
32;Argentina;CENTRO;6;BUENOS AIRES;21;ALBERTI;1;2015;6;2;4;4;1;5
32;Argentina;CENTRO;6;BUENOS AIRES;21;ALBERTI;1;2016;1;0;1;1;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;28;ALMIRANTE BROWN;1;2009;1;0;1;1;0;1
32;Argentina;CENTRO;6;BUENOS AIRES;28;ALMIRANTE BROWN;13;2010;38;12;26;32;21;17
32;Argentina;CENTRO;6;BUENOS AIRES;28;ALMIRANTE BROWN;17;2011;43;9;34;37;19;24
32;Argentina;CENTRO;6;BUENOS AIRES;28;ALMIRANTE BROWN;6;2012;14;5;9;13;9;5
32;Argentina;CENTRO;6;BUENOS AIRES;28;ALMIRANTE BROWN;19;2013;44;13;31;32;16;28
32;Argentina;CENTRO;6;BUENOS AIRES;28;ALMIRANTE BROWN;2;2014;10;4;6;8;6;4
32;Argentina;CENTRO;6;BUENOS AIRES;28;ALMIRANTE BROWN;1;2015;3;0;3;3;1;2
32;Argentina;CENTRO;6;BUENOS AIRES;28;ALMIRANTE BROWN;2;2016;5;1;4;1;2;3
32;Argentina;CENTRO;6;BUENOS AIRES;28;ALMIRANTE BROWN;4;2017;10;4;5;0;5;5
32;Argentina;NEA;22;CHACO;7;ALMIRANTE BROWN;15;2010;83;47;36;75;40;43
32;Argentina;NEA;22;CHACO;7;ALMIRANTE BROWN;85;2011;336;153;183;254;184;152
32;Argentina;NEA;22;CHACO;7;ALMIRANTE BROWN;6;2012;13;4;9;9;6;7
32;Argentina;NEA;22;CHACO;7;ALMIRANTE BROWN;1;2013;3;0;3;3;1;2
32;Argentina;NEA;22;CHACO;7;ALMIRANTE BROWN;44;2014;150;37;113;130;62;88
32;Argentina;NEA;22;CHACO;7;ALMIRANTE BROWN;22;2015;81;15;66;68;34;47
32;Argentina;NEA;22;CHACO;7;ALMIRANTE BROWN;7;2016;19;3;16;10;10;9
32;Argentina;NEA;22;CHACO;7;ALMIRANTE BROWN;34;2017;101;23;77;9;48;51
32;Argentina;NEA;22;CHACO;7;ALMIRANTE BROWN;13;Sin dato;20;4;16;1;5;11
32;Argentina;PATAGONIA;58;NEUQUEN;7;ALUMINE;8;2010;26;13;13;22;10;16
32;Argentina;PATAGONIA;58;NEUQUEN;7;ALUMINE;67;2011;219;84;135;152;112;107
32;Argentina;PATAGONIA;58;NEUQUEN;7;ALUMINE;75;2012;275;112;163;207;149;126
32;Argentina;PATAGONIA;58;NEUQUEN;7;ALUMINE;22;2013;59;21;38;43;30;29
32;Argentina;PATAGONIA;58;NEUQUEN;7;ALUMINE;2;2014;7;3;4;5;5;2
32;Argentina;PATAGONIA;58;NEUQUEN;7;ALUMINE;35;2017;53;6;47;9;27;25
32;Argentina;PATAGONIA;58;NEUQUEN;7;ALUMINE;9;Sin dato;24;10;14;14;13;11
32;Argentina;NOA;10;CATAMARCA;7;AMBATO;35;2009;112;27;85;78;50;62
